Noun,Gender,Number,Article
aiguille,F,S,l'
aile,F,S,l'
amande,F,S,l'
ampoule,F,S,l'
épice,F,S,l'
épine,F,S,l'
unité,F,S,l'
œuvre,F,S,l'
éponge,F,S,l'
épée,F,S,l'
arbre,M,S,l'
anneau,M,S,l'
éclair,M,S,l'
album,M,S,l'
objet,M,S,l'
ustensile,M,S,l'
oignon,M,S,l'
ordinateur,M,S,l'
œuf,M,S,l'
élastique,M,S,l'
aiguilles,F,P,les
ailes,F,P,les
amandes,F,P,les
ampoules,F,P,les
épices,F,P,les
épines,F,P,les
unités,F,P,les
œuvres,F,P,les
éponges,F,P,les
épées,F,P,les
arbres,M,P,les
anneaux,M,P,les
éclairs,M,P,les
albums,M,P,les
objets,M,P,les
ustensiles,M,P,les
oignons,M,P,les
ordinateurs,M,P,les
œufs,M,P,les
élastiques,M,P,les